,cmd_str,cmd_id_x,cmd_id_y
38,CMDID_WIFI_RSSI_GET_NEW,0x142f,
40,CMDID_GET_WIFI_STATE,0x141B,
42,CMDID_GET_BT_STATE,0x141C,
85,CMDID_PLAYREADY_KEY_WRITE,0x1458,
86,CMDID_HDCP_14_22_KEY_TRANS,0x1459,
87,CMDID_CIPLUS_CARD_SLOT,0x145C,
88,CMDID_CIPLUS_KEY_WRITE,0x145D,
89,CMDID_CIPLUS_KEY_READ,0x145E,
90,CMDID_CIPLUS_KEY_TRANS,0x1416,
91,CMDID_CIPLUS_KEY_USB_TRANS,0x145F,
92,CMDID_PLAYREADY_KEY_VERIFY,0x1417,
93,CMDID_WIDEVINE_KEY_VERIFY,0x1418,
94,CMDID_ATTESTATION_KEY_VERIFY,0x1419,
95,CMDID_MIRACAST_KEY_VERIFY,0x141A,
119,CMDID_N_WIDEVINE_KEY_TRANS,0x145B,
120,CMDID_N_NETFLIX_ESNID_KEY_WRITE,0x1274,
121,CMDID_N_NETFLIX_ESNID_KEY_READ,0x1275,
122,CMDID_N_NETFLIX_KPEKPH_KEY_WRITE,0x1276,
123,CMDID_N_NETFLIX_KPEKPH_KEY_READ,0x1277,
124,CMDID_N_NETFLIX_KEY_TRANS,0x1278,
131,CMDID_N_ATTESTATION_KEY_TRANS,0x145A,
144,CMDID_N_TV_CHANNEL_SCAN,0x1453,
145,CMDID_N_CHANNELLIST_DUMP,0x1454,
146,CMDID_N_TV_CHANNEL_LOAD,0x1455,
193,CMDID_SYSTEM_BOOTDIRECT,0x1221,
194,CMDID_CABLE_ANTENNA_SWITCH,0x1226,
199,CMDID_GET_MEMC_FW_VER,0x1279,
276,CMDID_N_NETFLIX_KEY_WRITE,,0x1274
277,CMDID_N_NETFLIX_KEY_READ,,0x1275
278,CMDID_N_DID_KEY_WRITE_JOBS,,0x1276
279,CMDID_N_DID_KEY_READ_JOBS,,0x1277
280,CMDID_N_MIC_TEST,,0x1453
281,CMDID_N_GET_MIC_RESULT,,0x1454
